batch_size: 16
Dataset loaded!
initialize network with normal
initialize network with normal
initialize network with normal
initialize network with normal
Start Profiling!
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.80%      76.495ms         0.91%      86.360ms       6.445us       0.000us         0.00%       0.000us       0.000us         160 b         160 b     102.02 Gb     102.02 Gb         13400  
                             aten::convolution_backward         1.91%     182.590ms         4.38%     417.844ms     165.811us        1.577s        39.21%        1.660s     658.723us           0 b           0 b      85.84 Gb      60.70 Gb          2520  
                                    aten::empty_strided         0.36%      34.255ms         0.44%      42.369ms       8.277us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      55.64 Gb      55.64 Gb          5119  
                                aten::cudnn_convolution         0.66%      62.950ms         1.15%     109.604ms      70.259us     338.121ms         8.41%     338.305ms     216.862us           0 b           0 b      31.02 Gb      31.02 Gb          1560  
                              aten::leaky_relu_backward         0.16%      14.859ms         0.29%      27.775ms      21.042us      74.962ms         1.86%      74.962ms      56.789us           0 b           0 b      31.01 Gb      31.01 Gb          1320  
                                              aten::cat         0.16%      15.308ms         0.23%      22.358ms      25.406us      50.611ms         1.26%      50.611ms      57.512us           0 b           0 b      29.21 Gb      29.21 Gb           880  
                               aten::threshold_backward         0.13%      12.038ms         0.22%      21.023ms      21.899us      70.278ms         1.75%      70.278ms      73.206us           0 b           0 b      28.74 Gb      28.74 Gb           960  
                      aten::cudnn_convolution_transpose         0.36%      34.793ms         0.66%      62.887ms      65.508us     599.931ms        14.92%     600.750ms     625.781us           0 b           0 b      15.78 Gb      15.78 Gb           960  
                                              aten::add         0.12%      11.269ms         0.19%      18.287ms      18.660us      37.444ms         0.93%      37.444ms      38.208us           0 b           0 b      14.37 Gb      14.37 Gb           980  
