batch_size: 16
netG: resnet_9blocks
Dataset loaded!
initialize network with normal
initialize network with normal
initialize network with normal
initialize network with normal
Start Profiling!
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.52%     141.327ms         0.61%     164.638ms       6.596us       0.000us         0.00%       0.000us       0.000us         160 b         160 b     761.59 Gb     761.59 Gb         24960  
                                    aten::empty_strided         0.18%      49.322ms         0.22%      59.991ms       7.590us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     418.66 Gb     418.66 Gb          7904  
                             aten::convolution_backward         0.98%     265.698ms        33.58%        9.103s       2.616ms        8.662s        48.17%        9.000s       2.586ms           0 b           0 b     266.18 Gb     260.10 Gb          3480  
                                aten::cudnn_convolution         0.44%     119.019ms         0.74%     201.596ms      62.221us        2.513s        13.98%        2.514s     775.879us           0 b           0 b     205.56 Gb     205.56 Gb          3240  
                                          aten::resize_         0.05%      13.519ms         0.06%      15.060ms       5.792us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     177.42 Gb     177.42 Gb          2600  
                               aten::threshold_backward         0.07%      19.088ms         0.33%      90.186ms      53.682us     405.712ms         2.26%     405.712ms     241.495us           0 b           0 b     165.00 Gb     165.00 Gb          1680  
                                              aten::add         0.06%      16.237ms         0.10%      26.142ms      21.428us     167.102ms         0.93%     167.102ms     136.969us           0 b           0 b      67.50 Gb      67.50 Gb          1220  
                      aten::cudnn_convolution_transpose         0.04%       9.861ms         0.07%      20.281ms      84.504us     256.371ms         1.43%     256.371ms       1.068ms           0 b           0 b      45.00 Gb      45.00 Gb           240  
                              aten::leaky_relu_backward         0.02%       5.601ms         0.04%       9.760ms      20.332us      39.633ms         0.22%      39.633ms      82.568us           0 b           0 b      16.64 Gb      16.64 Gb           480  
