batch_size: 16
netG: unet_256
Dataset loaded!
initialize network with normal
initialize network with normal
initialize network with normal
initialize network with normal
Start Profiling!
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.52%     141.323ms         0.61%     166.023ms       6.653us       0.000us         0.00%       0.000us       0.000us         160 b         160 b     761.59 Gb     761.59 Gb         24956  
                                    aten::empty_strided         0.18%      49.721ms         0.22%      60.021ms       7.606us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     418.66 Gb     418.66 Gb          7891  
                             aten::convolution_backward         0.98%     266.278ms        33.62%        9.115s       2.619ms        8.660s        48.17%        8.997s       2.585ms           0 b           0 b     266.17 Gb     260.10 Gb          3480  
                                aten::cudnn_convolution         0.44%     119.328ms         0.73%     198.521ms      61.272us        2.514s        13.98%        2.515s     776.142us           0 b           0 b     205.56 Gb     205.56 Gb          3240  
                                          aten::resize_         0.05%      12.751ms         0.05%      14.195ms       5.459us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     177.42 Gb     177.42 Gb          2600  
                               aten::threshold_backward         0.07%      18.818ms         0.34%      92.023ms      54.776us     405.416ms         2.25%     405.416ms     241.319us           0 b           0 b     165.00 Gb     165.00 Gb          1680  
                                              aten::add         0.06%      15.953ms         0.09%      24.365ms      19.971us     167.067ms         0.93%     167.067ms     136.941us           0 b           0 b      67.50 Gb      67.50 Gb          1220  
                      aten::cudnn_convolution_transpose         0.04%      10.608ms         0.08%      22.451ms      93.546us     256.044ms         1.42%     257.407ms       1.073ms           0 b           0 b      45.00 Gb      45.00 Gb           240  
                              aten::leaky_relu_backward         0.02%       6.461ms         0.04%      10.599ms      22.081us      40.167ms         0.22%      40.167ms      83.682us           0 b           0 b      16.64 Gb      16.64 Gb           480  
